ASSETID,RUNNERID,DMRID,SRO_CUSTOM_DESCRIPTION
1918264,,1918264,Kansas - Recommended Ep
1918317,,1918317,Orphans - Recommended Ep
1918333,,1918333,Gay - Recommended Ep
1918334,,1918334,DNA - Recommended Ep
1918340,,1918340,Leaving - Recommended Ep
1918341,,1918341,Sanctuary - Recommended Ep
1918331,,1918331,Alarm - Recommended Ep
1918332,,1918332,Immortal - Recommended Ep
1918336,,1918336,Butterfly - Recommended Ep
1918337,,1918337,Inches - Recommended Ep
3953869rid,3953869,,Part Two
3953868rid,3953868,,Part One
3952996rid,3952996,,Part One
3953045rid,3953045,,Part Two
4659144rid,4659144,,Black and White and Chi All Over - Recommended Ep
4659155rid,4659155,,GAIA (NO. 81) - REVISED
4659078rid,4659078,,Angels At Sea - Recommended Ep
4659065rid,4659065,,Past Imperfect - Recommended Ep
4659027rid,4659027,,Last Cowboy/Lady & the Monster - Recommended Ep
3954523rid,3954523,,Frannie's Choice - Recommended Ep
4659069rid,4659069,,Angels On Campus - Recommended Ep
4659011rid,4659011,,Michael The Warlord - Recommended Ep
4659097rid,4659097,,Angels Ahoy - Recommended Ep
4659010rid,4659010,,Florida's Homecoming Part 1 - Recommended Ep
4658979rid,4658979,,Puppetmaster - Recommended Ep
4659068rid,4659068,,Get Me A Lawyer - Recommended Ep
4659343rid,4659343,,War On Christmas - UNCENSORED
4659052rid,4659052,,The Wedding - Recommended Ep
3954224rid,3954224,,Episode 1-Japanese Dubbed
4659158rid,4659158,,The Dark Hand - Recommended Ep
4659074rid,4659074,,Rebirth - Recommended Ep
4658889rid,4658889,,The Election - Recommended Ep
4658866rid,4658866,,My Fair Larry - Recommended Ep
4658906rid,4658906,,If They Never Met - Recommended Ep
4658893rid,4658893,,The Ski Weekend - Recommended Ep
4659166rid,4659166,,Big Coal - Recommended Ep
4659173rid,4659173,,The Rock - Recommended Ep
4659316rid,4659316,,Night One
4659205rid,4659205,,This Sold House - Recommended Ep
4659227rid,4659227,,Winter's Tale - Recommended Ep
4659229rid,4659229,,Castaways - Recommended Ep
4659171rid,4659171,,My Best Piggy's Wedding - Recommended Ep
4659162rid,4659162,,The Eighth Door - Recommended Ep
4658927rid,4658927,,Fatal Charm - Recommended Ep
4658928rid,4658928,,The Fix - Recommended Ep
4659195rid,4659195,,The Innocent - Recommended Ep
4659188rid,4659188,,Family - Recommended Ep
4659063rid,4659063,,Beached - Recommended Ep
4659165rid,4659165,,A Jolly J-Team Xmas - Recommended Ep
4658917rid,4658917,,Paul is Dead - Recommended Ep
4659218rid,4659218,,The Finale Part 3 - Recommended Ep
3954384rid,3954384,,Episode 101 - Castilian Subs - Revised
4659210rid,4659210,,Eye on Angela - Recommended Ep
4659142rid,4659142,,The Powers That Be - Recommended Ep
3954532rid,3954532,,The Engagement - Recommended Ep
3954533rid,3954533,,The Best Man - Recommended Ep
4659184rid,4659184,,Causality - Recommended Ep
4659251rid,4659251,,The Scare - Recommended Ep
4659239rid,4659239,,Papricide - Recommended Ep
4659096rid,4659096,,My Master The Weakling - Recommended Ep
4658977rid,4658977,,'Tis the Season To Be Murdered - Recommended Ep
4658944rid,4658944,,Truth Be Told - Recommended Ep
3954534rid,3954534,,The Yummy Mummy - Recommended Ep
4659175rid,4659175,,Mr. Hightower's Opus - Recommended Ep
4658887rid,4658887,,First Love - Recommended Ep
4659199rid,4659199,,The Christmas Card - Recommended Ep
4659156rid,4659156,,Day of the Dragon - Recommended Ep
4659070rid,4659070,,The Case of My Vanishing Master Pt2 - Recommended
4658888rid,4658888,,Bank Job I - Recommended Ep
4658890rid,4658890,,Jilted - Recommended Ep
4659119rid,4659119,,Jeannie Breaks The Bank - Recommended Ep
4658953rid,4658953,,Las Vegas Strangler
4658916rid,4658916,,Met Someone - Recommended Episode
4659111rid,4659111,,"Uh Oh, Out Come the Skeletons - Recommended Ep"
4658871rid,4658871,,Beauty is in the Eye of Arnold - Recommended Ep
4658839rid,4658839,,Desperate Measures - Recommended Ep
3954500rid,3954500,,Louise Gets Her Way - Recommended Ep
4659094rid,4659094,,The Case of My Vanishing Master Pt1 - Recommended
3954498rid,3954498,,I've Still Got It - Recommended Ep
3954499rid,3954499,,Whole Lot of Trouble - Recommended Ep
4659082rid,4659082,,TWAT - Recommended Ep
4658929rid,4658929,,A Coffin for Starsky - Recommended Ep
4659079rid,4659079,,My Turned On Master - Recommended Ep
3954503rid,3954503,,Blazing Jeffersons - Recommended Ep
3954552rid,3954552,,I've Got A Secret - Recommended Ep
3954212rid,3954212,,Minisode - Episode 101
3954521rid,3954521,,Schlepped Away - Recommended Ep
3954522rid,3954522,,I Don't Remember Mama - Recommended Ep
4659064rid,4659064,,The Birds and The Bees Bit - Recommended Ep
3954464rid,3954464,,Episode 101-Revision
4659028rid,4659028,,The Challenge/Genie named.. - Recommended Ep
3954554rid,3954554,,"Small Fish, Big Pond - Recommended Ep"
3954555rid,3954555,,The Separation Part ! - Recommended Ep
4659098rid,4659098,,Angel Hunt - Recommended Ep
4659163rid,4659163,,Tough Luck - Recommended Ep
4658987rid,4658987,,Love Boat Angels Part 1 - Recommended Ep
4658998rid,4658998,,Angels In Paradise Part 2 - Recommended Ep
3954553rid,3954553,,And The Doorknobs Shined... - Recommended Ep
3954551rid,3954551,,My Hero - Recommended Ep
4659117rid,4659117,,"My Master, the Rich Tycoon - Recommended Ep"
4658878rid,4658878,,You Want This To End... - Recommended Ep
4658877rid,4658877,,Ashes - Recommended Ep
4659157rid,4659157,,The Jade Monkey - Recommended Ep
4659159rid,4659159,,The Rock - Recommended Ep
4658966rid,4658966,,Lemon Wacky Hello - Recommended Ep
4658980rid,4658980,,The Four Musketeers - Recommended Ep
3954556rid,3954556,,"Sorry, Wrong Meeting - Recommended Ep"
4659183rid,4659183,,Pilot - Recommended Ep
4658981rid,4658981,,"New York, New York - Recommended Ep"
4658984rid,4658984,,Bad Behavior - Recommended Ep
4659046rid,4659046,,Counterfeit Angels - Recommended Ep
4659253rid,4659253,,...That's the Question - Recommended Ep
4659220rid,4659220,,Good Old Reliable Nathan - Recommended Ep
4659086rid,4659086,,Devil - Recommended Ep
4658948rid,4658948,,Filmore Street - Recommended Ep
4658952rid,4658952,,The Set Up Part 1 - Recommended Ep
4659161rid,4659161,,The J Team Part 2 - Recommended Ep
4659137rid,4659137,,It's All In the Game - Recommended Ep
4659194rid,4659194,,Monster - Recommended Ep
4658935rid,4658935,,Bloodbath - Recommended Ep
4658937rid,4658937,,Starsky's Lady - Recommended Ep
4659001rid,4659001,,The Songwriter/Queen of Soaps - Recommended Ep
4659008rid,4659008,,The Lunch Money Rip-off - Recommended Ep
4659208rid,4659208,,Briefless Encounter - Recommended Ep
4659138rid,4659138,,Antler Action - Recommended Ep
4658959rid,4658959,,How the Finch Stole Christmas - Recommended Ep
4658960rid,4658960,,Two Girls For Every Boy - Recommended Ep
4659107rid,4659107,,Look What He Dug Up This Time - Recommended Ep
4659012rid,4659012,,Up In Smoke Part 2 - Recommended Ep
4658964rid,4658964,,The Richest Astronaut in the World - Recommended
4659143rid,4659143,,Ninja Twilight - Recommended Ep
