OldDamAssetId,RunnerId,NewDamAssetId
1907132,5553159,5553159rid
2227527,5553158,5553158rid
1757954,5553157,5553157rid
1991010,5553156,5553156rid
1743657,5553155,5553155rid
1868784,5553154,5553154rid
1978391,5553153,5553153rid
1952650,5553152,5553152rid
2040840,5553151,5553151rid
1828595,5553150,5553150rid
1979012,5553149,5553149rid
2146931,5553148,5553148rid
2028351,5553147,5553147rid
2040191,5553146,5553146rid
2365508,5553145,5553145rid
1824797,5553144,5553144rid
2286667,5553143,5553143rid
2147251,5553142,5553142rid
2100331,5553141,5553141rid
2100312,5553140,5553140rid
2087631,5553139,5553139rid
2055593,5553138,5553138rid
2049780,5553137,5553137rid
2049778,5553136,5553136rid
2049776,5553135,5553135rid
2049769,5553134,5553134rid
2049763,5553133,5553133rid
2047071,5553132,5553132rid
2046531,5553131,5553131rid
1852796,5553130,5553130rid
1831064,5553129,5553129rid
1824362,5553128,5553128rid
1824304,5553127,5553127rid
1812711,5553126,5553126rid
1795557,5553125,5553125rid
1768366,5553124,5553124rid
1754968,5553123,5553123rid
1753052,5553122,5553122rid
1717631,5553121,5553121rid
1701891,5553120,5553120rid
1859257,5553119,5553119rid
2293785,5553118,5553118rid
1668970,5553117,5553117rid
1663550,5553116,5553116rid
2016771,5553115,5553115rid
1979072,5553114,5553114rid
2796800,5322946,5322946rid
2774357,5322945,5322945rid
2664800,5322944,5322944rid
2547153,5322943,5322943rid
2535296,5320469,5320469rid
2535291,5320468,5320468rid
2526677,5320467,5320467rid
2495021,5320466,5320466rid
2492226,5320465,5320465rid
2486159,5320464,5320464rid
2485913,5320463,5320463rid
2483274,5320462,5320462rid
2468771,5320461,5320461rid
2468484,5320460,5320460rid
2468459,5320459,5320459rid
2468354,5320458,5320458rid
2456721,5320457,5320457rid
2451466,5320456,5320456rid
2445973,5320455,5320455rid
2443617,5320454,5320454rid
2441666,5320453,5320453rid
2438501,5320452,5320452rid
2438325,5320451,5320451rid
2438245,5320450,5320450rid
2422147,5320449,5320449rid
2420328,5320448,5320448rid
2391104,5320447,5320447rid
2389895,5320446,5320446rid
2383611,5320445,5320445rid
2381681,5320444,5320444rid
2379491,5320443,5320443rid
2376117,5320442,5320442rid
2376116,5320441,5320441rid
2375562,5320440,5320440rid
2366138,5320439,5320439rid
2365469,5320438,5320438rid
2361681,5320437,5320437rid
2353917,5320436,5320436rid
2353527,5320435,5320435rid
2353526,5320434,5320434rid
2352421,5320433,5320433rid
2350352,5320432,5320432rid
2345966,5320431,5320431rid
2340258,5320430,5320430rid
2337591,5320429,5320429rid
2337585,5320428,5320428rid
2337582,5320427,5320427rid
2337581,5320426,5320426rid
2337580,5320425,5320425rid
2337579,5320424,5320424rid
2337578,5320423,5320423rid
2337576,5320422,5320422rid
2337573,5320421,5320421rid
2337561,5320420,5320420rid
2337560,5320419,5320419rid
2337559,5320418,5320418rid
2337558,5320417,5320417rid
2337557,5320416,5320416rid
2337553,5320415,5320415rid
2337551,5320414,5320414rid
2337550,5320413,5320413rid
2337549,5320412,5320412rid
2337546,5320411,5320411rid
2337545,5320410,5320410rid
2337544,5320409,5320409rid
2337543,5320408,5320408rid
2337542,5320407,5320407rid
2337541,5320406,5320406rid
2337539,5320405,5320405rid
2337536,5320404,5320404rid
2337533,5320403,5320403rid
2337510,5320402,5320402rid
2337508,5320401,5320401rid
2337506,5320400,5320400rid
2337505,5320399,5320399rid
2337504,5320398,5320398rid
2337501,5320397,5320397rid
2337500,5320396,5320396rid
2337499,5320395,5320395rid
2337498,5320394,5320394rid
2337440,5320393,5320393rid
2337439,5320392,5320392rid
